nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Tiriz 2.5Mg/5Ml Solución Oral FRASCO 60 ML,"38,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/038094X.jpg,/producto/tiriz-2-5mg-5ml-solucion-oral/038094,salud,http://mifarma.com.pe,mifarma
Silenai Cl NF Solución Oral FRASCO 120 ML,"34,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072914X.jpg,/producto/silenai-cl-nf-10mg-30mg-1-25mg-5ml-solucion-oral/072914,salud,http://mifarma.com.pe,mifarma
Nasaler Plus Cl (2mg+30mg)/5mL Jarabe FRASCO 60 ML,"26,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/069593X.jpg,/producto/nasaler-plus-cl-2mg-30mg-5ml-jarabe/069593,salud,http://mifarma.com.pe,mifarma
Supracort 15mg/5mL Solución Oral FRASCO 100 ML,"29,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072942X.jpg,/producto/supracort-15mg-5ml-solucion-oral/072942,salud,http://mifarma.com.pe,mifarma
Silenai Cl Nf (10mg + 30 Mg + 1.25mg)5ml Solución Oral FRASCO 120 ML,"39,10",,,,/producto/silenai-cl-nf-%2810mg--30-mg-125mg%295ml-solucion-oral/072906,salud,http://mifarma.com.pe,mifarma
Neo Silenai Pediátrico F 10mg+5mg/5mL Jarabe FRASCO 120 ML,"40,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/069608X.jpg,/producto/neo-silenai-pediatrico-f-10mg-5mg-5ml-jarabe/069608,salud,http://mifarma.com.pe,mifarma
Prednisona 5mg Tableta CAJA 100 UN,"8,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424756X.jpg,/producto/prednisona-5mg-tableta/424756,salud,http://mifarma.com.pe,mifarma
Loratadina 5mg/5ml FRASCO 5 ML,"3,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/015192X.jpg,/producto/loratadina-5mg-5ml/015192,salud,http://mifarma.com.pe,mifarma
Xintus Dilat 7.5Mg + 0.005Mg/5Ml Solución Oral FRASCO 120 ML,"24,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072809X.jpg,/producto/xintus-dilat-7-5mg-0-005mg-5ml-solucion-oral/072809,salud,http://mifarma.com.pe,mifarma
Maflux Balsámico NF 200mg + 40mg + 50mg/5ml Supensión Oral FRASCO 100 ML,"17,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073193X.jpg,/producto/maflux-balsamico-nf-200mg-40mg-50mg-5ml-supension-oral/073193,salud,http://mifarma.com.pe,mifarma
Kit Neilmed Sinus Rinse KIT 60 SOBRES,"121,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073839X.jpg,/producto/neilmed-kit-de-irrigacion-nasal/073839,salud,http://mifarma.com.pe,mifarma
Kit Neilmed Sinus Rinse Kids KIT 30 SOBRES,"94,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073838X.jpg,/producto/neilmed-kit-de-irrigacion-nasal/073838,salud,http://mifarma.com.pe,mifarma
Neilmed Pediamist Solución Salina para Irrigación Nasal Kids FRASCO 75 ML,"65,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073837X.jpg,/producto/neilmed-pediamist-solucion-salina-nasal-kids/073837,salud,http://mifarma.com.pe,mifarma
Neilmed Nasamist Solución Salina para Irrigación Nasal FRASCO 75 ML,"65,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073836X.jpg,/producto/neilmed-solucion-salina-para-irrigacion-nasal/073836,salud,http://mifarma.com.pe,mifarma
Pharmalatum E 100mg + 10mg + 5mg Solución Oral FRASCO 120 ML,"19,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072812X.jpg,/producto/pharmalatum-e-100mg-10mg-5mg-solucion-oral/072812,salud,http://mifarma.com.pe,mifarma
Mejoral Antigripal 500mg + 5mg + 2mg Tableta CAJA 104 UN,"118,04",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072433X.jpg,/producto/mejoral-antigripal-500mg-5mg-2mg-tableta/072433,salud,http://mifarma.com.pe,mifarma
Mucotrim Dilat Forte 15mg + 0.01mg/5ml FRASCO 120 ML,"20,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/070630X.jpg,/producto/mucotrim-dilat-forte-15mg-001mg5ml/070630,salud,http://mifarma.com.pe,mifarma
Cefaclor 500 mg Tableta Recubierta CAJA 20 UN,"44,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/017813X.jpg,/producto/cefaclor-500-mg-tableta-recubierta/017813,salud,http://mifarma.com.pe,mifarma
Vaporal Original Pomada POTE 100 UN,"12,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072284X.jpg,/producto/vaporal-original-pomada/072284,farmacia,http://mifarma.com.pe,mifarma
Vaporal Original Pomada en Lata CAJA 12 UN,"24,72",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072283X.jpg,/producto/vaporal-original-pomada-en-lata/072283,farmacia,http://mifarma.com.pe,mifarma
Idofix 3.54mg/ml Suspensión Oral FRASCO 120 ML,"32,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/038000X.jpg,/producto/idofix-354mg-ml-suspension-oral/038000,salud,http://mifarma.com.pe,mifarma
Rhino-BB DM Cloruro de sodio 0.9% Solución Gotas Nasales FRASCO 15 ML,"6,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072451X.jpg,/producto/rhino-bb-dm-cloruro-de-sodio-09-solucion-gotas-nasales/072451,salud,http://mifarma.com.pe,mifarma
Rinepan 10mg Tableta Recubierta CAJA 10 UN,"42,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072109X.jpg,/producto/rinepan-10mg-tableta-recubierta/072109,salud,http://mifarma.com.pe,mifarma
Doxiac 100 mg Cápsula CAJA 10 UN,"51,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/031000X.jpg,/producto/doxiac-100-mg-capsula/031000,salud,http://mifarma.com.pe,mifarma
Doxy 100 LG 100mg Cápsula CAJA 10 UN,"65,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072004X.jpg,/producto/doxy-100-lg-100mg-capsula/072004,salud,http://mifarma.com.pe,mifarma
Ciprofloxacino 500mg Tabletas Recubiertas CAJA 100 UN,"40,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/017995X.jpg,/producto/ciprofloxacino-500mg-tabletas-recubiertas/017995,salud,http://mifarma.com.pe,mifarma
